,dataset,image_name,c1,c2,c3,c4,c5,c_total,scaled_MOS_quality,SD,MOS_zscore,set
68,koniq,10177270623.jpg,2,11,44,44,1,102,3.30392156862745,0.75503872677905,59.4800884955752,training
69,koniq,10177793964.jpg,0,2,54,41,0,97,3.4020618556701,0.533459499681735,68.5218446601942,training
70,koniq,10178112894.jpg,2,49,51,4,0,106,2.5377358490566,0.604341882142988,40.2586206896552,training
71,koniq,10178183416.jpg,0,0,33,68,6,107,3.74766355140187,0.551044598816994,75.6842105263158,test
72,koniq,10178914656.jpg,0,0,53,52,1,106,3.50943396226415,0.520901837363733,69.7991071428571,training
73,koniq,10183769356.jpg,0,2,43,55,5,105,3.6,0.61394061351492,70.0472972972973,training
74,koniq,10186643874.jpg,1,24,90,11,0,126,2.88095238095238,0.54563200576422,51.5731707317073,training
75,koniq,10186680555.jpg,0,14,70,19,1,104,3.06730769230769,0.595524131992075,55.3362068965517,training
76,koniq,10186832194.jpg,1,14,54,28,4,101,3.1980198019802,0.761837278953951,57.5818584070796,test
77,koniq,10187102065.jpg,2,63,35,7,0,107,2.4392523364486,0.646873031393711,38.7142857142857,test
78,koniq,10187522803.jpg,0,0,55,52,1,108,3.5,0.520603531858148,68.4601769911504,test
79,koniq,10191607755.jpg,0,2,16,64,20,102,4.0,0.660033002475206,79.4115044247788,training
80,koniq,10196228605.jpg,0,5,62,41,0,108,3.33333333333333,0.563699396261691,63.8040540540541,training
81,koniq,10203647273.jpg,0,2,31,69,5,107,3.7196261682243,0.579433564058746,73.5021186440678,training
82,koniq,10205220286.jpg,9,77,20,0,0,106,2.10377358490566,0.515091213060161,29.2638888888889,training
83,koniq,10206674394.jpg,0,0,18,76,6,100,3.88,0.477366513151884,79.1100917431193,test
84,koniq,10207172624.jpg,0,6,49,45,1,101,3.40594059405941,0.619325727251536,62.5344036697248,training
85,koniq,10209014225.jpg,0,4,58,42,0,104,3.36538461538462,0.558390410586359,64.8411214953271,training
86,koniq,10209917915.jpg,1,35,55,10,1,102,2.75490196078431,0.68123758246187,46.9097222222222,test
87,koniq,10211880874.jpg,12,51,43,1,0,107,2.30841121495327,0.678667047514812,35.0487288135593,training
88,koniq,10213881683.jpg,5,77,52,2,0,136,2.375,0.582936372869986,37.1232142857143,training
89,koniq,10218118033.jpg,0,1,25,76,5,107,3.79439252336449,0.527334302993257,75.6659663865546,training
90,koniq,10221144393.jpg,37,71,2,0,0,110,1.68181818181818,0.505598349888039,18.275641025641,training
91,koniq,10224586444.jpg,2,52,47,1,0,102,2.46078431372549,0.557070993350661,37.975,training
92,koniq,10226277514.jpg,2,44,55,5,0,106,2.59433962264151,0.613782990761741,43.2162162162162,training
93,koniq,10226524916.jpg,38,52,15,2,0,107,1.82242990654206,0.737321569232619,20.6216216216216,test
94,koniq,10227210045.jpg,0,5,48,48,2,103,3.45631067961165,0.622718565915461,70.4245283018868,training
95,koniq,10241630856.jpg,0,5,61,39,1,106,3.33962264150943,0.58369581857791,63.6573275862069,training
96,koniq,10241895785.jpg,0,4,39,57,3,103,3.57281553398058,0.6199611269846,67.0736607142857,validation
97,koniq,10244314384.jpg,2,34,52,15,0,103,2.77669902912621,0.713071770374435,47.5481651376147,validation
98,koniq,10244715656.jpg,1,25,61,22,0,109,2.95412844036697,0.685637323156987,53.3223684210526,training
99,koniq,10246311914.jpg,0,0,25,73,9,107,3.85046728971963,0.546062031132427,75.4579831932773,validation
100,koniq,10246318724.jpg,0,0,24,77,5,106,3.82075471698113,0.493716128411589,74.3581081081081,test
101,koniq,10258169584.jpg,0,10,70,25,0,105,3.14285714285714,0.562080124122946,57.2302631578947,training
102,koniq,10260190424.jpg,0,0,56,49,3,108,3.50925925925926,0.555269916184919,68.8652173913043,training
103,koniq,1026198859.jpg,0,2,40,61,1,104,3.58653846153846,0.550561530172921,70.2715517241379,training
104,koniq,10262588616.jpg,1,2,68,29,0,100,3.25,0.538891492235719,61.4485981308411,training
105,koniq,10264804094.jpg,0,1,28,76,1,106,3.72641509433962,0.488594073759443,76.6495535714286,validation
106,koniq,10264984793.jpg,0,4,45,50,2,101,3.4950495049505,0.610307502431973,66.1,validation
107,koniq,10265315316.jpg,0,2,67,32,1,102,3.31372549019608,0.526155346500202,62.9513888888889,training
108,koniq,10265809113.jpg,0,0,36,65,2,103,3.66990291262136,0.512363793752346,73.7767857142857,training
109,koniq,10273804555.jpg,0,4,47,49,4,104,3.50961538461538,0.638493255283538,68.3026315789474,test
110,koniq,10278246465.jpg,0,2,56,71,0,129,3.53488372093023,0.531014824826997,70.8416030534351,training
111,koniq,10279904885.jpg,3,43,46,10,1,103,2.64077669902913,0.739029158224927,44.0400943396226,test
112,koniq,10280683815.jpg,0,1,30,67,5,103,3.7378640776699,0.559431873028057,77.425,training
113,koniq,10280835505.jpg,6,66,27,1,0,100,2.23,0.565953205047052,31.2256637168142,training
114,koniq,10283619534.jpg,0,2,30,65,3,100,3.69,0.563090318750649,77.9740566037736,training
115,koniq,10287677265.jpg,1,5,42,53,1,102,3.47058823529412,0.655606171823823,64.1272321428571,training
116,koniq,10289468185.jpg,0,0,35,62,4,101,3.69306930693069,0.54300228834556,73.525,training
117,koniq,10290759976.jpg,0,0,23,77,3,103,3.80582524271845,0.465648449975302,77.9256756756757,training
118,koniq,1029470257.jpg,0,45,62,4,0,111,2.63063063063063,0.554779693013819,43.0961538461538,test
119,koniq,10295875445.jpg,0,6,54,48,1,109,3.40366972477064,0.610392497512353,62.563025210084,training
120,koniq,10296038236.jpg,1,52,52,3,1,109,2.55045871559633,0.615934077342428,40.6438053097345,training
121,koniq,10299438733.jpg,0,13,66,23,0,102,3.09803921568627,0.588836811456376,55.2683486238532,test
122,koniq,102995966.jpg,46,51,7,0,0,104,1.625,0.610387430681514,16.4600840336134,training
123,koniq,10316734944.jpg,0,2,50,49,0,101,3.46534653465347,0.539710226615053,67.3055555555556,training
124,koniq,10319186405.jpg,0,18,57,26,1,102,3.09803921568627,0.682305409412992,55.5540540540541,test
125,koniq,10319713194.jpg,82,30,0,0,0,112,1.26785714285714,0.444833056186754,7.99152542372881,training
126,koniq,10325321.jpg,0,0,22,73,9,104,3.875,0.534035742958542,76.8717948717949,training
127,koniq,10327985614.jpg,0,1,34,66,8,109,3.74311926605505,0.599439085416844,75.1026785714286,training
128,koniq,10329149264.jpg,0,0,31,70,3,104,3.73076923076923,0.506861066174239,71.9797297297297,training
129,koniq,10329235193.jpg,0,2,17,66,27,112,4.05357142857143,0.682328891058202,84.1292372881356,training
130,koniq,10330831494.jpg,1,29,67,7,0,104,2.76923076923077,0.578427215227558,48.5321100917431,test
131,koniq,10335072144.jpg,0,16,49,42,0,107,3.24299065420561,0.698260932675251,62.1610576923077,test
132,koniq,10336689775.jpg,0,4,77,48,0,129,3.34108527131783,0.537589004709449,65.1811023622047,training
133,koniq,103400056.jpg,0,3,18,63,20,104,3.96153846153846,0.69566029153948,77.8625,training
134,koniq,10342569703.jpg,1,57,44,1,0,103,2.43689320388349,0.53632560553216,38.6081081081081,test
135,koniq,10344523015.jpg,1,21,71,15,0,108,2.92592592592593,0.606871919907349,52.5263157894737,validation
136,koniq,10344921126.jpg,93,16,0,0,0,109,1.14678899082569,0.355530070442413,4.46638655462185,training
137,koniq,10346758803.jpg,0,11,45,40,5,101,3.38613861386139,0.747934449396509,63.5336134453782,training
138,koniq,10346796664.jpg,0,1,41,60,2,104,3.60576923076923,0.547159819941693,70.6504424778761,training
139,koniq,10349956885.jpg,0,3,32,65,5,105,3.68571428571429,0.609449400220044,69.75,test
140,koniq,10350497833.jpg,2,9,66,27,1,105,3.15238095238095,0.661887632529297,58.260593220339,test
141,koniq,10351189716.jpg,0,2,74,30,0,106,3.26415094339623,0.484067818791518,61.01875,test
142,koniq,10353620913.jpg,1,17,59,25,0,102,3.05882352941176,0.672273067630027,56.7071428571429,training
143,koniq,10358252894.jpg,0,3,88,46,0,137,3.31386861313869,0.510936637281419,64.4615384615385,training
144,koniq,10362672006.jpg,0,1,19,81,3,104,3.82692307692308,0.471360511593271,75.8189655172414,test
145,koniq,10366373284.jpg,1,0,14,94,3,112,3.875,0.467406106580208,75.4545454545455,test
146,koniq,1036840624.jpg,8,68,20,0,0,96,2.125,0.528154682286404,28.3382352941176,training
147,koniq,10371125786.jpg,2,61,38,4,0,105,2.41904761904762,0.600976007151834,38.245145631068,validation
148,koniq,10371211803.jpg,0,0,63,49,1,113,3.45132743362832,0.517396477610979,66.38125,training
149,koniq,10372323314.jpg,0,0,64,44,1,109,3.42201834862385,0.51448604310428,65.3361344537815,training
150,koniq,10373546175.jpg,0,7,67,25,0,99,3.18181818181818,0.541419833394177,61.9538834951456,training
151,koniq,10375167904.jpg,0,7,70,25,0,102,3.17647058823529,0.534211081244486,62.4080188679245,training
152,koniq,10382843045.jpg,1,29,64,10,0,104,2.79807692307692,0.613438624054357,48.6347826086957,training
153,koniq,10387390396.jpg,0,0,39,63,2,104,3.64423076923077,0.519863111757694,74.3417431192661,training
154,koniq,10387844376.jpg,0,10,43,53,3,109,3.44954128440367,0.700346984531796,65.6134453781513,training
155,koniq,10388184626.jpg,0,1,23,70,6,100,3.81,0.544856574585172,78.5802752293578,training
156,koniq,10395523125.jpg,0,10,58,32,1,101,3.23762376237624,0.634799414799433,60.5069444444444,training
157,koniq,10397166423.jpg,0,0,42,64,3,109,3.64220183486239,0.536154617344946,73.9358407079646,test
158,koniq,10397631976.jpg,0,0,35,69,3,107,3.70093457943925,0.517886730367843,73.7247899159664,training
159,koniq,10399580503.jpg,0,0,27,73,4,104,3.77884615384615,0.50158449460463,76.6371681415929,training
160,koniq,10403509543.jpg,0,2,50,52,0,104,3.48076923076923,0.539341008015854,68.0117924528302,training
161,koniq,10407720764.jpg,1,59,40,3,0,103,2.43689320388349,0.5717174489413,38.6261682242991,training
162,koniq,10408374535.jpg,0,31,67,9,0,107,2.79439252336449,0.578519870616636,48.9217391304348,training
163,koniq,10408474376.jpg,0,0,15,83,11,109,3.96330275229358,0.489266372662459,81.4894957983193,training
164,koniq,10409059825.jpg,0,0,38,66,2,106,3.66037735849057,0.514305679955861,73.1513157894737,validation
165,koniq,10410038143.jpg,0,1,20,70,12,103,3.90291262135922,0.586022871580632,78.1659482758621,training
166,koniq,10412894895.jpg,0,6,77,17,0,100,3.11,0.469149240755018,57.4121621621622,training
167,koniq,10414716033.jpg,0,0,40,60,3,103,3.64077669902913,0.539687072220866,71.0878378378378,validation
168,koniq,10415628976.jpg,45,59,17,0,0,121,1.76859504132231,0.68020010019739,20.0868644067797,training
169,koniq,10415631353.jpg,1,49,52,7,0,109,2.59633027522936,0.625377901382745,43.0819327731092,validation
170,koniq,104219737.jpg,1,29,50,22,0,102,2.91176470588235,0.732592591065844,50.2954545454545,training
171,koniq,10422425365.jpg,0,2,21,76,2,101,3.77227722772277,0.507566510298146,72.5723684210526,training
172,koniq,10422776735.jpg,0,2,58,66,0,126,3.50793650793651,0.532856930082089,69.772,training
173,koniq,10423472445.jpg,0,1,41,68,0,110,3.60909090909091,0.508558938073631,72.5705128205128,training
174,koniq,10429780626.jpg,0,0,42,54,0,96,3.5625,0.498682474653277,72.0285714285714,training
175,koniq,10430002553.jpg,0,1,21,71,7,100,3.84,0.545319848688582,77.5206422018349,training
176,koniq,10430335945.jpg,3,47,54,2,0,106,2.5188679245283,0.589287415935903,39.9741379310345,training
177,koniq,10440370734.jpg,4,60,39,6,0,109,2.43119266055046,0.657815865222348,39.2436440677966,training
178,koniq,10442628686.jpg,6,48,83,3,0,140,2.59285714285714,0.610418285311095,41.5810810810811,training
179,koniq,10446770756.jpg,0,0,43,54,5,102,3.62745098039216,0.578861440139363,73.0288461538462,training
180,koniq,10446810546.jpg,0,0,36,69,4,109,3.70642201834862,0.532338521744318,74.734375,training
181,koniq,10451177016.jpg,0,2,41,54,4,101,3.59405940594059,0.602962980982783,70.9357798165138,training
182,koniq,10453950204.jpg,0,6,79,22,0,107,3.14953271028037,0.491507851676416,58.975,validation
183,koniq,10458591.jpg,0,28,57,14,2,101,2.9009900990099,0.700070717785704,51.4871794871795,validation
184,koniq,10458703674.jpg,5,59,35,3,0,102,2.35294117647059,0.623739264254592,38.1615044247788,test
185,koniq,10459022813.jpg,0,0,15,81,11,107,3.96261682242991,0.493834317278461,79.9642857142857,training
186,koniq,10463545414.jpg,0,13,82,14,0,109,3.00917431192661,0.499915045450071,55.0444915254237,validation
187,koniq,10463583515.jpg,0,0,21,76,3,100,3.82,0.45792681696639,76.6973684210526,training
188,koniq,10464940425.jpg,0,0,48,61,2,111,3.58558558558559,0.530325259859344,71.3851351351351,training
189,koniq,10465121613.jpg,0,5,67,34,1,107,3.28971962616822,0.566507769341593,61.5723684210526,validation
190,koniq,10465293055.jpg,0,1,25,69,5,100,3.78,0.542720420239975,76.5366972477064,training
191,koniq,10466350116.jpg,0,0,28,76,8,112,3.82142857142857,0.540508364550718,77.224358974359,validation
192,koniq,10466453556.jpg,11,78,17,0,0,106,2.05660377358491,0.513256432321075,28.8004201680672,training
193,koniq,10468110795.jpg,0,7,60,38,1,106,3.31132075471698,0.607307995088549,61.4754464285714,test
194,koniq,10468540574.jpg,0,4,47,47,3,101,3.48514851485149,0.626320387439825,67.075,training
195,koniq,10469774844.jpg,1,7,76,26,0,110,3.15454545454545,0.561556873137655,59.6034482758621,test
196,koniq,10471406506.jpg,13,79,21,0,0,113,2.07079646017699,0.546364840156087,28.2884615384615,training
197,koniq,10474002734.jpg,0,0,20,84,2,106,3.83018867924528,0.424750865089678,80.7745535714286,test
198,koniq,10475435053.jpg,0,15,64,25,3,107,3.14953271028037,0.684101646394152,57.8487394957983,training
199,koniq,10475658035.jpg,0,0,12,70,27,109,4.13761467889908,0.584805917603453,83.225,training
200,koniq,10481974434.jpg,2,51,51,7,0,111,2.56756756756757,0.641328473796549,42.4615384615385,training
201,koniq,10486107003.jpg,0,4,55,44,0,103,3.38834951456311,0.564175777585734,67.9930555555556,test
202,koniq,10490369963.jpg,3,53,43,5,0,104,2.48076923076923,0.638273904602475,39.0540540540541,training
203,koniq,10491358066.jpg,0,5,50,44,2,101,3.42574257425743,0.622037533489183,64.45,training
204,koniq,10491423125.jpg,0,3,39,61,3,106,3.60377358490566,0.59648566474642,72.5,test
205,koniq,10492897986.jpg,2,30,69,5,0,106,2.72641509433962,0.577894682577149,44.6283783783784,validation
206,koniq,10505275743.jpg,0,0,23,70,8,101,3.85148514851485,0.536397960731794,75.25,training
207,koniq,10506082433.jpg,1,49,55,3,0,108,2.55555555555556,0.569199032800311,41.9444444444444,training
208,koniq,10512432565.jpg,0,4,46,58,1,109,3.51376146788991,0.58712543456142,68.1785714285714,training
209,koniq,10513907744.jpg,0,12,59,26,1,98,3.16326530612245,0.637227848535258,59.4311926605505,validation
210,koniq,10516786036.jpg,0,1,28,69,11,109,3.8256880733945,0.606203069160939,73.94375,training
211,koniq,10517436165.jpg,4,35,66,0,0,105,2.59047619047619,0.566623570867177,42.4652173913043,training
212,koniq,10520192995.jpg,0,16,69,21,0,106,3.04716981132075,0.591721869537951,55.1630434782609,test
213,koniq,10525460645.jpg,0,3,35,60,6,104,3.66346153846154,0.632617876088816,71.9652777777778,training
214,koniq,10526881085.jpg,0,42,63,3,1,109,2.6605504587156,0.58087073028404,44.4598214285714,test
215,koniq,10530470795.jpg,1,58,42,5,0,106,2.4811320754717,0.605233242335575,38.7567567567568,training
216,koniq,10532663625.jpg,0,1,44,58,1,104,3.56730769230769,0.535432373634963,70.2565789473684,training
217,koniq,10534454676.jpg,0,0,41,62,2,105,3.62857142857143,0.52361801360899,71.0891304347826,training
218,koniq,10535849673.jpg,0,25,65,8,0,98,2.8265306122449,0.556600695386536,47.9556074766355,training
219,koniq,10536668436.jpg,5,72,52,1,0,130,2.37692307692308,0.574191505954102,36.5432330827068,test
220,koniq,10538085833.jpg,1,36,96,19,0,152,2.875,0.612372435695794,52.6710526315789,training
221,koniq,10539008983.jpg,0,5,43,60,1,109,3.52293577981651,0.602407673504281,71.0154867256637,test
222,koniq,10539142034.jpg,0,1,40,107,3,151,3.74172185430464,0.496166318337449,78.1809210526316,training
223,koniq,10539341593.jpg,0,1,34,65,1,101,3.65346534653465,0.518375222485729,75.025,training
224,koniq,10544775715.jpg,0,34,67,7,0,108,2.75,0.565768024851109,48.0642857142857,training
225,koniq,10544833625.jpg,0,17,71,13,0,101,2.96039603960396,0.546274511197583,50.5756880733945,validation
226,koniq,10544945153.jpg,0,27,68,9,0,104,2.82692307692308,0.565038149623763,50.8235294117647,training
227,koniq,10554234623.jpg,0,19,86,8,0,113,2.90265486725664,0.481155635830317,51.609243697479,training
228,koniq,10556629035.jpg,0,2,34,64,2,102,3.64705882352941,0.556635202786152,73.2821100917431,training
229,koniq,10558118243.jpg,0,0,34,70,8,112,3.76785714285714,0.569212239856606,75.8,training
230,koniq,105620456.jpg,1,18,61,27,1,108,3.08333333333333,0.698797364769892,55.8625,test
231,koniq,10567114974.jpg,0,8,53,47,1,109,3.37614678899083,0.635216364796543,64.8478260869565,test
232,koniq,10567188645.jpg,0,1,64,40,1,106,3.38679245283019,0.526818930074988,64.1575630252101,validation
233,koniq,10568567754.jpg,0,2,23,79,7,111,3.81981981981982,0.55919094475368,75.1782608695652,training
234,koniq,10569725133.jpg,0,0,28,75,4,107,3.77570093457944,0.501100886444381,74.3008849557522,training
235,koniq,1057328504.jpg,11,57,36,1,0,105,2.25714285714286,0.650865864542283,31.4955357142857,training
236,koniq,10574233584.jpg,2,22,60,17,0,101,2.91089108910891,0.679691251981223,51.7110091743119,training
237,koniq,10575593285.jpg,0,6,72,25,0,103,3.18446601941748,0.519191921436553,59.2126168224299,training
238,koniq,10576676414.jpg,0,4,72,51,0,127,3.37007874015748,0.546317391415905,66.4107142857143,training
239,koniq,10579282866.jpg,0,6,54,52,0,112,3.41071428571429,0.593562635546243,63.3181818181818,training
240,koniq,1057997640.jpg,1,17,70,17,0,105,2.98095238095238,0.604167456106596,52.7758620689655,training
241,koniq,10581525775.jpg,0,5,93,42,0,140,3.26428571428571,0.517474696642216,63.3766891891892,training
242,koniq,10582113466.jpg,0,12,68,24,0,104,3.11538461538462,0.579716909616233,58.1607142857143,test
243,koniq,10583786994.jpg,0,14,50,34,4,102,3.27450980392157,0.74670050121638,60.1880733944954,training
244,koniq,10586872235.jpg,2,43,60,1,0,106,2.56603773584906,0.552377854190896,41.6388888888889,training
245,koniq,10589450596.jpg,1,6,77,41,1,126,3.27777777777778,0.60184900284226,64.5773809523809,training
246,koniq,10597114264.jpg,0,0,38,65,2,105,3.65714285714286,0.515687954032345,72.8928571428571,training
247,koniq,10602786066.jpg,19,67,20,2,0,108,2.0462962962963,0.661127036292569,27.7605042016807,training
248,koniq,10603218265.jpg,0,1,32,71,1,105,3.68571428571429,0.506007861642441,71.8616071428571,test
249,koniq,10604417276.jpg,0,0,27,67,7,101,3.8019801980198,0.548083971307281,77.3692660550459,training
250,koniq,10605846204.jpg,0,1,48,60,0,109,3.54128440366972,0.518761168407095,70.4620535714286,validation
251,koniq,10609356094.jpg,0,5,51,43,6,105,3.47619047619048,0.680712834732799,67.0,training
252,koniq,10614052044.jpg,0,1,23,81,4,109,3.80733944954128,0.499575082782089,74.6207627118644,training
253,koniq,10615424764.jpg,0,0,41,57,6,104,3.66346153846154,0.584767432371758,74.1903669724771,training
254,koniq,10617981003.jpg,3,50,51,1,0,105,2.47619047619048,0.573371239908821,40.3175675675676,training
255,koniq,10619909515.jpg,0,3,73,31,0,107,3.26168224299065,0.501628453763451,60.7775423728814,validation
256,koniq,10620203775.jpg,37,49,15,1,0,102,1.80392156862745,0.718072442996927,20.8611111111111,training
257,koniq,10620356404.jpg,0,10,68,28,0,106,3.16981132075472,0.576883220223454,56.454347826087,training
258,koniq,1062133952.jpg,0,6,76,27,2,111,3.22522522522523,0.56704472622512,60.9872881355932,training
259,koniq,10625988224.jpg,0,4,59,38,1,102,3.35294117647059,0.574146957824214,66.8443396226415,test
260,koniq,10628337356.jpg,0,3,29,71,1,104,3.67307692307692,0.547586189382175,75.4042056074766,training
261,koniq,10628497685.jpg,0,18,65,26,0,109,3.07339449541284,0.634011654559731,54.9478260869565,validation
262,koniq,10628645805.jpg,0,0,19,71,12,102,3.93137254901961,0.549703861256738,83.5808823529412,training
263,koniq,10631219374.jpg,0,4,42,61,1,108,3.5462962962963,0.586200489757354,71.7142857142857,training
264,koniq,10631630073.jpg,20,81,4,0,0,105,1.84761904761905,0.45533065713392,21.4116379310345,training
265,koniq,1063351510.jpg,0,37,63,9,0,109,2.74311926605505,0.599439085416844,47.1153846153846,test
