,sessionId,imageName,scaled_MOS_aesthetic,qualityScore,sessionId_imageName,set
19785,session104,iaa_pub7227_.jpg,1.9259259259259256,2.1814814814814816,session104_iaa_pub7227_.jpg,training
19628,session436,iaa_pub30483_.jpg,3.5,3.56,session436_iaa_pub30483_.jpg,training
8871,session294,iaa_pub20570_.jpg,1.84,2.032,session294_iaa_pub20570_.jpg,training
4458,session377,iaa_pub26372_.jpg,3.5,3.5875,session377_iaa_pub26372_.jpg,training
24989,session65,iaa_pub4537_.jpg,3.62,3.792,session65_iaa_pub4537_.jpg,training
20497,session244,iaa_pub17072_.jpg,2.857142857142857,3.0107142857142857,session244_iaa_pub17072_.jpg,training
16057,session4,iaa_pub233_.jpg,3.673076923076923,3.8461538461538463,session4_iaa_pub233_.jpg,training
13485,session43,iaa_pub2956_.jpg,3.34,3.648,session43_iaa_pub2956_.jpg,training
14829,session343,iaa_pub23979_.jpg,2.833333333333333,2.954166666666667,session343_iaa_pub23979_.jpg,training
24032,session165,iaa_pub11515_.jpg,2.6,2.768,session165_iaa_pub11515_.jpg,training
20901,session430,iaa_pub30070_.jpg,2.44,2.536,session430_iaa_pub30070_.jpg,training
29673,session151,iaa_pub10505_.jpg,3.8,3.984,session151_iaa_pub10505_.jpg,training
12077,session93,iaa_pub6507_.jpg,3.7777777777777777,3.903703703703704,session93_iaa_pub6507_.jpg,training
529,session429,iaa_pub29971_.jpg,3.3653846153846154,3.680769230769231,session429_iaa_pub29971_.jpg,training
16040,session119,iaa_pub8313_.jpg,2.982142857142857,3.1535714285714285,session119_iaa_pub8313_.jpg,training
28801,session4,iaa_pub212_.jpg,3.4615384615384617,3.692307692307693,session4_iaa_pub212_.jpg,training
20489,session233,iaa_pub16258_.jpg,3.357142857142857,3.5,session233_iaa_pub16258_.jpg,training
6591,session9,iaa_pub590_.jpg,3.592592592592593,3.618518518518519,session9_iaa_pub590_.jpg,training
10610,session396,iaa_pub27715_.jpg,2.98,3.304,session396_iaa_pub27715_.jpg,training
3591,session155,iaa_pub10813_.jpg,3.72,3.768,session155_iaa_pub10813_.jpg,training
7816,session239,iaa_pub16716_.jpg,3.68,3.724,session239_iaa_pub16716_.jpg,training
5667,session200,iaa_pub13966_.jpg,2.88,3.008,session200_iaa_pub13966_.jpg,training
25672,session13,iaa_pub872_.jpg,3.019230769230769,3.207692307692308,session13_iaa_pub872_.jpg,test
6875,session22,iaa_pub1539_.jpg,3.56,3.704,session22_iaa_pub1539_.jpg,training
25341,session444,iaa_pub31072_.jpg,3.5,3.712,session444_iaa_pub31072_.jpg,training
28085,session323,iaa_pub22553_.jpg,3.72,3.692,session323_iaa_pub22553_.jpg,training
13386,session73,iaa_pub5049_.jpg,2.3,2.448,session73_iaa_pub5049_.jpg,training
28527,session373,iaa_pub26092_.jpg,1.88,1.94,session373_iaa_pub26092_.jpg,training
15678,session315,iaa_pub22016_.jpg,3.04,3.2960000000000003,session315_iaa_pub22016_.jpg,training
1296,session385,iaa_pub26930_.jpg,3.0,3.2,session385_iaa_pub26930_.jpg,training
10868,session437,iaa_pub30557_.jpg,3.74,3.82,session437_iaa_pub30557_.jpg,training
3450,session284,iaa_pub19866_.jpg,3.520833333333333,3.7083333333333335,session284_iaa_pub19866_.jpg,training
2992,session121,iaa_pub8466_.jpg,2.875,3.171428571428572,session121_iaa_pub8466_.jpg,training
6489,session228,iaa_pub15893_.jpg,3.092592592592593,3.2888888888888888,session228_iaa_pub15893_.jpg,training
1292,session27,iaa_pub1860_.jpg,3.46,3.636,session27_iaa_pub1860_.jpg,test
16454,session132,iaa_pub9217_.jpg,2.946428571428572,3.196428571428572,session132_iaa_pub9217_.jpg,training
30204,session422,iaa_pub29533_.jpg,2.82,3.1,session422_iaa_pub29533_.jpg,test
29744,session338,iaa_pub23630_.jpg,3.1666666666666665,3.357575757575757,session338_iaa_pub23630_.jpg,training
12863,session211,iaa_pub14737_.jpg,3.5961538461538463,3.784615384615385,session211_iaa_pub14737_.jpg,training
21411,session310,iaa_pub21658_.jpg,3.64,3.924,session310_iaa_pub21658_.jpg,training
13820,session42,iaa_pub2923_.jpg,3.757575757575758,3.8454545454545457,session42_iaa_pub2923_.jpg,training
4514,session326,iaa_pub22817_.jpg,2.423076923076923,2.457692307692308,session326_iaa_pub22817_.jpg,training
21823,session417,iaa_pub29132_.jpg,1.66,1.796,session417_iaa_pub29132_.jpg,validation
19137,session252,iaa_pub17621_.jpg,2.72,2.904,session252_iaa_pub17621_.jpg,training
454,session270,iaa_pub18858_.jpg,3.66,3.792,session270_iaa_pub18858_.jpg,training
12014,session290,iaa_pub20241_.jpg,1.9821428571428568,2.0678571428571426,session290_iaa_pub20241_.jpg,training
18931,session106,iaa_pub7384_.jpg,1.26,1.26,session106_iaa_pub7384_.jpg,training
28257,session87,iaa_pub6059_.jpg,3.1,3.4,session87_iaa_pub6059_.jpg,training
30543,session258,iaa_pub18014_.jpg,3.2884615384615383,3.4038461538461537,session258_iaa_pub18014_.jpg,training
896,session369,iaa_pub25774_.jpg,3.82,4.044,session369_iaa_pub25774_.jpg,training
10963,session129,iaa_pub9003_.jpg,3.38,3.564,session129_iaa_pub9003_.jpg,training
30683,session432,iaa_pub30221_.jpg,1.5384615384615383,1.696153846153846,session432_iaa_pub30221_.jpg,training
23032,session215,iaa_pub15044_.jpg,3.333333333333333,3.5518518518518523,session215_iaa_pub15044_.jpg,training
9719,session192,iaa_pub13414_.jpg,3.58,3.784,session192_iaa_pub13414_.jpg,training
21312,session154,iaa_pub10762_.jpg,3.4,3.504,session154_iaa_pub10762_.jpg,training
6130,session24,iaa_pub1644_.jpg,2.18,2.252,session24_iaa_pub1644_.jpg,training
21924,session384,iaa_pub26855_.jpg,1.4,1.508,session384_iaa_pub26855_.jpg,training
16212,session87,iaa_pub6080_.jpg,1.58,1.644,session87_iaa_pub6080_.jpg,training
25991,session413,iaa_pub28841_.jpg,3.16,3.284,session413_iaa_pub28841_.jpg,training
27831,session440,iaa_pub30739_.jpg,3.3846153846153846,3.496153846153846,session440_iaa_pub30739_.jpg,training
1600,session169,iaa_pub11800_.jpg,3.48,3.712,session169_iaa_pub11800_.jpg,training
28500,session237,iaa_pub16551_.jpg,3.8,3.988,session237_iaa_pub16551_.jpg,training
6110,session339,iaa_pub23700_.jpg,3.48,3.652,session339_iaa_pub23700_.jpg,training
4594,session226,iaa_pub15777_.jpg,2.25,2.3000000000000003,session226_iaa_pub15777_.jpg,training
7046,session30,iaa_pub2053_.jpg,2.82,3.12,session30_iaa_pub2053_.jpg,test
21388,session119,iaa_pub8303_.jpg,3.142857142857143,3.3035714285714284,session119_iaa_pub8303_.jpg,training
13774,session46,iaa_pub3216_.jpg,2.5961538461538463,2.7884615384615383,session46_iaa_pub3216_.jpg,training
5476,session439,iaa_pub30703_.jpg,3.2,3.464,session439_iaa_pub30703_.jpg,training
8171,session430,iaa_pub30083_.jpg,2.48,2.52,session430_iaa_pub30083_.jpg,training
12818,session35,iaa_pub2448_.jpg,3.52,3.692,session35_iaa_pub2448_.jpg,training
24107,session179,iaa_pub12462_.jpg,3.3461538461538463,3.5846153846153848,session179_iaa_pub12462_.jpg,training
12313,session132,iaa_pub9226_.jpg,3.678571428571429,3.903571428571429,session132_iaa_pub9226_.jpg,training
4089,session76,iaa_pub5316_.jpg,2.52,2.696,session76_iaa_pub5316_.jpg,training
23279,session211,iaa_pub14709_.jpg,3.7115384615384617,3.857692307692308,session211_iaa_pub14709_.jpg,validation
16042,session77,iaa_pub5339_.jpg,3.58,3.764,session77_iaa_pub5339_.jpg,training
23688,session114,iaa_pub7965_.jpg,3.0,3.2518518518518515,session114_iaa_pub7965_.jpg,training
31177,session142,iaa_pub9895_.jpg,3.8,3.952,session142_iaa_pub9895_.jpg,training
8078,session227,iaa_pub15887_.jpg,3.2,3.48,session227_iaa_pub15887_.jpg,training
12609,session72,iaa_pub4991_.jpg,3.3088235294117645,3.514705882352941,session72_iaa_pub4991_.jpg,training
4921,session368,iaa_pub25709_.jpg,3.689655172413793,3.844827586206896,session368_iaa_pub25709_.jpg,training
22481,session234,iaa_pub16345_.jpg,2.5,2.644,session234_iaa_pub16345_.jpg,training
10431,session295,iaa_pub20619_.jpg,2.66,2.696,session295_iaa_pub20619_.jpg,training
89,session53,iaa_pub3658_.jpg,3.12,3.2880000000000003,session53_iaa_pub3658_.jpg,training
14917,session48,iaa_pub3326_.jpg,3.36,3.572,session48_iaa_pub3326_.jpg,training
27747,session442,iaa_pub30920_.jpg,1.82,1.8,session442_iaa_pub30920_.jpg,training
9446,session261,iaa_pub18261_.jpg,3.3,3.556,session261_iaa_pub18261_.jpg,training
2022,session281,iaa_pub19611_.jpg,3.82,3.92,session281_iaa_pub19611_.jpg,training
20658,session19,iaa_pub1273_.jpg,3.882352941176471,4.047058823529412,session19_iaa_pub1273_.jpg,training
13249,session134,iaa_pub9361_.jpg,2.36,2.536,session134_iaa_pub9361_.jpg,training
27545,session235,iaa_pub16426_.jpg,3.16,3.276,session235_iaa_pub16426_.jpg,training
12701,session73,iaa_pub5055_.jpg,3.06,3.24,session73_iaa_pub5055_.jpg,training
13504,session71,iaa_pub4915_.jpg,3.596774193548387,3.6322580645161286,session71_iaa_pub4915_.jpg,validation
7359,session179,iaa_pub12496_.jpg,3.0,3.034615384615385,session179_iaa_pub12496_.jpg,training
16733,session292,iaa_pub20382_.jpg,3.129032258064516,3.261290322580645,session292_iaa_pub20382_.jpg,training
9682,session394,iaa_pub27513_.jpg,2.625,2.920833333333333,session394_iaa_pub27513_.jpg,training
10943,session115,iaa_pub8046_.jpg,2.84,3.052,session115_iaa_pub8046_.jpg,training
18355,session57,iaa_pub3936_.jpg,3.75,3.8535714285714286,session57_iaa_pub3936_.jpg,training
13710,session8,iaa_pub528_.jpg,2.84,3.016,session8_iaa_pub528_.jpg,training
13498,session114,iaa_pub7966_.jpg,3.7222222222222223,3.774074074074074,session114_iaa_pub7966_.jpg,training
11705,session415,iaa_pub29029_.jpg,3.42,3.576,session415_iaa_pub29029_.jpg,training
15290,session107,iaa_pub7469_.jpg,3.673076923076923,3.723076923076923,session107_iaa_pub7469_.jpg,training
29387,session325,iaa_pub22683_.jpg,2.5,2.608,session325_iaa_pub22683_.jpg,training
29395,session14,iaa_pub916_.jpg,3.04,3.3680000000000003,session14_iaa_pub916_.jpg,training
4713,session184,iaa_pub12874_.jpg,2.66,2.9560000000000004,session184_iaa_pub12874_.jpg,training
1186,session101,iaa_pub7019_.jpg,2.895833333333333,3.1375,session101_iaa_pub7019_.jpg,training
26919,session328,iaa_pub22901_.jpg,2.86,3.092,session328_iaa_pub22901_.jpg,training
12145,session176,iaa_pub12314_.jpg,3.28,3.628,session176_iaa_pub12314_.jpg,training
7788,session412,iaa_pub28797_.jpg,3.58,3.648,session412_iaa_pub28797_.jpg,test
4373,session176,iaa_pub12275_.jpg,3.68,3.94,session176_iaa_pub12275_.jpg,training
16154,session397,iaa_pub27728_.jpg,2.9038461538461537,3.0961538461538463,session397_iaa_pub27728_.jpg,training
6248,session132,iaa_pub9175_.jpg,3.375,3.617857142857143,session132_iaa_pub9175_.jpg,training
30918,session42,iaa_pub2907_.jpg,3.757575757575758,3.887878787878788,session42_iaa_pub2907_.jpg,training
10563,session96,iaa_pub6682_.jpg,4.0625,4.204166666666667,session96_iaa_pub6682_.jpg,training
3263,session163,iaa_pub11367_.jpg,3.696428571428572,3.817857142857143,session163_iaa_pub11367_.jpg,training
1702,session185,iaa_pub12934_.jpg,2.8,3.028,session185_iaa_pub12934_.jpg,training
26865,session419,iaa_pub29288_.jpg,3.0576923076923075,3.1653846153846152,session419_iaa_pub29288_.jpg,training
5427,session165,iaa_pub11488_.jpg,1.56,1.624,session165_iaa_pub11488_.jpg,training
28450,session435,iaa_pub30388_.jpg,2.44,2.544,session435_iaa_pub30388_.jpg,training
14523,session179,iaa_pub12472_.jpg,3.576923076923077,3.6307692307692303,session179_iaa_pub12472_.jpg,training
6916,session425,iaa_pub29727_.jpg,3.22,3.432,session425_iaa_pub29727_.jpg,training
21972,session202,iaa_pub14137_.jpg,3.269230769230769,3.465384615384615,session202_iaa_pub14137_.jpg,training
4475,session39,iaa_pub2718_.jpg,3.537037037037037,3.592592592592593,session39_iaa_pub2718_.jpg,validation
13610,session427,iaa_pub29885_.jpg,3.12,3.432,session427_iaa_pub29885_.jpg,training
30703,session99,iaa_pub6892_.jpg,2.896551724137931,3.1862068965517243,session99_iaa_pub6892_.jpg,training
29984,session227,iaa_pub15823_.jpg,3.08,3.3080000000000003,session227_iaa_pub15823_.jpg,training
8692,session165,iaa_pub11487_.jpg,3.02,2.904,session165_iaa_pub11487_.jpg,training
12578,session24,iaa_pub1658_.jpg,3.2,3.34,session24_iaa_pub1658_.jpg,training
22816,session438,iaa_pub30639_.jpg,3.4615384615384617,3.615384615384616,session438_iaa_pub30639_.jpg,training
570,session132,iaa_pub9205_.jpg,3.5892857142857144,3.735714285714285,session132_iaa_pub9205_.jpg,training
30659,session355,iaa_pub24829_.jpg,2.98,3.064,session355_iaa_pub24829_.jpg,training
22798,session414,iaa_pub28946_.jpg,2.958333333333333,3.154166666666667,session414_iaa_pub28946_.jpg,training
9765,session331,iaa_pub23102_.jpg,3.66,3.848,session331_iaa_pub23102_.jpg,training
3942,session432,iaa_pub30195_.jpg,3.076923076923077,3.273076923076923,session432_iaa_pub30195_.jpg,training
8143,session432,iaa_pub30213_.jpg,2.8461538461538463,3.130769230769231,session432_iaa_pub30213_.jpg,training
27302,session68,iaa_pub4738_.jpg,3.16,3.332,session68_iaa_pub4738_.jpg,training
10151,session168,iaa_pub11697_.jpg,3.24,3.452,session168_iaa_pub11697_.jpg,training
24644,session52,iaa_pub3608_.jpg,2.576923076923077,2.784615384615385,session52_iaa_pub3608_.jpg,training
18427,session140,iaa_pub9756_.jpg,3.1346153846153846,3.3307692307692305,session140_iaa_pub9756_.jpg,training
7564,session364,iaa_pub25460_.jpg,3.1923076923076925,3.3615384615384616,session364_iaa_pub25460_.jpg,test
