,dataset,Image name,MOS,Brightness,Colorfulness,Contrast,Noisiness,Sharpness,scaled_MOS_quality,set
9579,spaq,09580.jpg,70.43,68.57,72.43,69.86,57.14,63.57,3.911914893617021,training
2281,spaq,02282.jpg,66.4,65.36,73.4,66.4,54.3,61.09,3.7404255319148936,training
10686,spaq,10687.jpg,80.43,84.17,80.33,74.0,80.71,84.67,4.337446808510639,training
2330,spaq,02331.jpg,36.5,53.45,72.7,59.4,43.36,23.44,2.4680851063829787,training
3329,spaq,03330.jpg,83.88,82.0,84.63,85.57,85.71,85.88,4.484255319148936,training
4741,spaq,04742.jpg,46.67,40.67,46.33,41.5,36.0,47.33,2.900851063829787,validation
1986,spaq,01987.jpg,72.0,62.89,74.78,72.78,75.56,69.13,3.978723404255319,validation
10793,spaq,10794.jpg,49.71,66.29,63.71,62.33,59.29,35.86,3.0302127659574465,test
8069,spaq,08070.jpg,75.5,71.88,79.86,72.13,75.13,82.14,4.127659574468085,training
1185,spaq,01186.jpg,28.13,53.13,64.0,58.57,29.88,16.0,2.1119148936170213,test
22,spaq,00023.jpg,44.13,32.25,61.75,43.75,56.13,53.63,2.7927659574468087,test
8160,spaq,08161.jpg,41.71,70.29,74.71,73.71,59.71,23.29,2.6897872340425533,training
2998,spaq,02999.jpg,59.63,52.89,66.63,64.0,65.89,59.11,3.452340425531915,training
7134,spaq,07135.jpg,27.75,56.0,56.0,52.25,35.75,21.0,2.095744680851064,training
905,spaq,00906.jpg,23.92,43.15,43.85,38.38,27.85,15.54,1.9327659574468083,training
798,spaq,00799.jpg,74.17,64.83,72.5,65.33,63.67,76.33,4.071063829787234,training
7360,spaq,07361.jpg,37.6,30.0,54.6,44.6,49.4,48.6,2.5148936170212766,training
4082,spaq,04083.jpg,79.73,77.27,78.58,77.25,73.5,77.82,4.307659574468086,training
1767,spaq,01768.jpg,39.14,28.92,36.92,40.93,56.14,52.5,2.5804255319148934,test
3415,spaq,03416.jpg,61.67,63.7,69.0,62.8,64.89,53.6,3.539148936170213,training
7798,spaq,07799.jpg,28.5,38.83,44.0,37.0,37.33,21.17,2.127659574468085,training
3345,spaq,03346.jpg,75.14,78.43,83.43,76.0,76.0,75.14,4.112340425531915,training
11118,spaq,11119.jpg,55.4,35.4,58.0,51.2,64.4,55.6,3.272340425531915,test
4324,spaq,04325.jpg,29.08,40.92,43.91,45.5,33.09,20.73,2.1523404255319147,test
9502,spaq,09503.jpg,85.73,81.18,87.91,82.73,79.55,87.55,4.562978723404256,training
9281,spaq,09282.jpg,33.29,46.43,40.71,41.86,24.71,30.0,2.3314893617021277,training
1779,spaq,01780.jpg,68.57,63.43,67.5,68.0,66.57,73.07,3.832765957446808,test
1233,spaq,01234.jpg,84.71,82.0,85.14,85.29,85.86,87.43,4.519574468085106,training
10956,spaq,10957.jpg,83.0,81.4,84.4,91.75,86.0,84.8,4.446808510638298,training
8892,spaq,08893.jpg,53.86,59.71,69.0,61.0,44.57,43.29,3.2068085106382975,training
4181,spaq,04182.jpg,33.13,67.38,71.86,60.25,43.13,20.0,2.32468085106383,training
1382,spaq,01383.jpg,61.45,49.0,58.82,53.0,64.5,68.91,3.529787234042553,test
8218,spaq,08219.jpg,13.75,19.25,29.75,20.5,36.0,11.0,1.5,training
8809,spaq,08810.jpg,39.0,37.0,47.25,55.75,40.5,41.25,2.574468085106383,training
7520,spaq,07521.jpg,66.83,72.33,66.0,69.67,62.5,70.0,3.758723404255319,test
10164,spaq,10165.jpg,80.57,75.0,83.5,76.67,80.14,81.86,4.3434042553191485,training
10757,spaq,10758.jpg,31.71,52.29,59.71,51.57,42.86,22.43,2.264255319148936,test
2457,spaq,02458.jpg,71.11,52.9,67.11,62.56,68.78,65.6,3.940851063829787,training
6841,spaq,06842.jpg,44.0,50.5,60.0,55.5,37.5,45.5,2.7872340425531914,training
4783,spaq,04784.jpg,55.11,38.8,51.8,52.3,67.9,66.4,3.26,validation
7238,spaq,07239.jpg,76.0,76.5,77.0,75.5,79.0,77.5,4.148936170212766,training
1598,spaq,01599.jpg,37.0,42.0,51.79,52.86,48.21,36.0,2.4893617021276597,training
255,spaq,00256.jpg,26.54,17.91,25.38,23.92,53.43,31.31,2.044255319148936,training
8155,spaq,08156.jpg,82.33,83.33,81.5,82.0,80.0,82.83,4.418297872340426,training
1317,spaq,01318.jpg,47.79,50.85,58.0,53.46,61.43,54.64,2.948510638297872,test
6793,spaq,06794.jpg,36.5,62.0,63.5,59.5,44.0,26.0,2.4680851063829787,training
8927,spaq,08928.jpg,48.57,48.0,53.29,46.43,48.86,48.14,2.9817021276595743,training
8424,spaq,08425.jpg,77.67,75.0,70.67,75.0,58.33,70.0,4.22,training
3389,spaq,03390.jpg,66.0,50.3,72.3,67.44,71.89,65.9,3.723404255319149,test
385,spaq,00386.jpg,75.35,70.89,75.72,74.28,71.24,74.5,4.12127659574468,training
5236,spaq,05237.jpg,23.0,15.8,23.0,27.0,41.0,13.8,1.8936170212765957,training
1281,spaq,01282.jpg,46.36,66.9,66.6,62.36,49.73,39.45,2.887659574468085,training
3506,spaq,03507.jpg,75.83,81.55,84.73,78.0,75.25,75.42,4.141702127659574,training
3814,spaq,03815.jpg,22.5,36.83,37.5,24.5,30.83,9.33,1.872340425531915,training
5295,spaq,05296.jpg,29.14,11.67,20.86,20.86,51.71,37.29,2.1548936170212767,training
10128,spaq,10129.jpg,26.63,15.0,29.29,23.5,41.13,19.71,2.048085106382979,training
372,spaq,00373.jpg,38.05,27.26,48.68,39.5,44.26,51.11,2.5340425531914894,training
8894,spaq,08895.jpg,34.0,27.57,57.43,42.86,38.29,32.86,2.361702127659574,training
2016,spaq,02017.jpg,59.7,59.33,62.56,64.78,55.2,67.78,3.4553191489361703,test
625,spaq,00626.jpg,38.32,55.5,53.61,48.89,52.56,20.78,2.545531914893617,training
8188,spaq,08189.jpg,58.8,61.4,54.6,61.4,58.4,54.8,3.417021276595744,validation
2438,spaq,02439.jpg,19.38,38.75,28.57,35.63,28.38,16.38,1.7395744680851064,training
10315,spaq,10316.jpg,73.5,75.83,77.0,74.67,76.17,77.17,4.042553191489362,training
10798,spaq,10799.jpg,37.57,66.14,62.29,64.0,59.0,20.86,2.5136170212765956,test
9282,spaq,09283.jpg,33.33,40.5,35.0,38.0,23.83,35.17,2.333191489361702,training
9960,spaq,09961.jpg,18.57,31.29,25.0,22.43,24.86,15.0,1.7051063829787234,training
8506,spaq,08507.jpg,47.5,38.25,61.63,58.25,49.88,52.75,2.9361702127659575,training
8225,spaq,08226.jpg,39.17,72.17,67.33,70.17,49.17,26.17,2.5817021276595744,validation
8210,spaq,08211.jpg,27.0,22.0,30.6,24.2,49.8,45.8,2.0638297872340425,training
10064,spaq,10065.jpg,78.54,70.77,80.85,79.08,87.42,87.36,4.257021276595745,training
2538,spaq,02539.jpg,87.27,81.27,88.0,87.5,88.1,88.6,4.628510638297872,training
7666,spaq,07667.jpg,89.5,85.0,90.83,87.33,86.67,89.17,4.723404255319149,training
1967,spaq,01968.jpg,50.2,33.0,57.89,55.67,69.0,63.11,3.051063829787234,training
591,spaq,00592.jpg,73.41,73.81,76.69,72.12,71.88,71.29,4.038723404255319,training
5186,spaq,05187.jpg,75.8,78.0,79.6,81.0,80.4,77.2,4.140425531914894,training
4625,spaq,04626.jpg,21.63,32.38,39.25,25.38,41.88,28.25,1.8353191489361702,training
1709,spaq,01710.jpg,14.75,16.63,25.88,18.63,20.86,13.14,1.5425531914893615,training
3685,spaq,03686.jpg,28.5,30.18,41.9,39.7,33.27,31.91,2.127659574468085,training
9435,spaq,09436.jpg,60.43,42.29,55.71,65.0,65.71,67.86,3.486382978723404,validation
5621,spaq,05622.jpg,78.63,79.63,75.63,70.11,78.75,76.56,4.260851063829787,training
7813,spaq,07814.jpg,40.0,33.86,64.29,48.14,58.86,48.29,2.617021276595745,training
3512,spaq,03513.jpg,28.25,32.17,45.08,42.33,37.42,19.33,2.117021276595745,test
10849,spaq,10850.jpg,53.0,58.0,66.17,59.17,62.67,55.67,3.1702127659574466,test
4661,spaq,04662.jpg,47.13,67.38,62.13,56.5,40.75,40.75,2.9204255319148937,training
1989,spaq,01990.jpg,27.91,56.0,63.4,46.2,41.0,17.2,2.1025531914893616,training
10419,spaq,10420.jpg,9.0,48.33,46.17,31.33,10.0,3.67,1.297872340425532,training
8675,spaq,08676.jpg,38.25,77.5,75.5,75.75,33.75,34.5,2.5425531914893615,training
6568,spaq,06569.jpg,67.44,60.0,70.78,63.67,73.11,68.11,3.7846808510638295,test
2661,spaq,02662.jpg,65.67,65.5,73.57,64.79,64.21,68.57,3.7093617021276595,test
3636,spaq,03637.jpg,61.3,59.0,62.8,57.3,54.4,61.56,3.5234042553191487,training
5122,spaq,05123.jpg,26.5,37.17,48.0,35.82,38.73,13.0,2.0425531914893615,training
5275,spaq,05276.jpg,28.43,20.57,25.29,29.14,57.14,41.57,2.1246808510638298,training
6813,spaq,06814.jpg,28.5,53.5,58.5,53.0,12.0,23.5,2.127659574468085,training
9078,spaq,09079.jpg,14.0,19.2,27.2,27.4,22.6,9.4,1.5106382978723403,training
1521,spaq,01522.jpg,69.9,72.2,77.3,70.3,75.1,62.6,3.8893617021276596,test
9659,spaq,09660.jpg,19.4,37.6,31.8,27.8,13.6,12.4,1.7404255319148936,training
10402,spaq,10403.jpg,73.0,58.5,63.17,64.67,57.17,77.5,4.0212765957446805,training
1411,spaq,01412.jpg,43.09,66.5,59.91,65.9,49.55,29.09,2.7485106382978723,training
6531,spaq,06532.jpg,70.71,68.86,71.29,70.57,70.71,68.57,3.923829787234042,test
5180,spaq,05181.jpg,85.17,86.0,81.67,88.5,82.67,81.83,4.539148936170212,training
5545,spaq,05546.jpg,12.6,22.2,22.2,23.2,10.2,12.4,1.451063829787234,validation
9212,spaq,09213.jpg,33.4,41.8,38.5,40.6,27.67,16.8,2.3361702127659574,test
1774,spaq,01775.jpg,49.92,41.0,52.92,49.46,59.75,54.38,3.039148936170213,validation
4132,spaq,04133.jpg,42.5,66.67,74.33,59.17,54.17,29.67,2.723404255319149,training
9256,spaq,09257.jpg,28.83,45.33,52.33,45.0,32.5,26.5,2.1417021276595745,training
621,spaq,00622.jpg,63.6,65.79,66.84,65.65,59.89,62.0,3.6212765957446806,test
9963,spaq,09964.jpg,69.17,57.17,69.17,56.5,68.33,65.67,3.8582978723404255,training
10534,spaq,10535.jpg,32.33,56.67,66.5,54.67,47.33,30.33,2.2906382978723405,training
4397,spaq,04398.jpg,64.33,55.93,54.36,54.57,56.43,53.27,3.6523404255319147,test
1284,spaq,01285.jpg,64.92,59.18,69.73,63.17,66.27,73.17,3.677446808510638,training
914,spaq,00915.jpg,51.42,58.0,65.77,59.57,43.5,44.58,3.1029787234042554,validation
208,spaq,00209.jpg,34.29,29.14,37.71,35.0,28.71,22.14,2.3740425531914893,training
9318,spaq,09319.jpg,31.44,39.0,43.11,30.44,30.11,17.33,2.2527659574468086,training
5983,spaq,05984.jpg,54.75,49.5,55.5,59.5,40.75,59.5,3.2446808510638294,test
5397,spaq,05398.jpg,19.33,48.33,64.33,48.83,45.5,15.5,1.7374468085106383,training
5751,spaq,05752.jpg,34.38,41.86,57.71,55.29,46.14,22.25,2.377872340425532,training
6744,spaq,06745.jpg,58.88,63.25,63.13,57.38,63.38,58.13,3.4204255319148937,validation
7698,spaq,07699.jpg,41.17,37.17,63.0,60.83,42.5,28.5,2.666808510638298,training
9945,spaq,09946.jpg,16.17,47.33,25.33,31.67,19.5,12.0,1.6029787234042554,training
248,spaq,00249.jpg,24.77,30.55,41.85,34.77,35.77,21.46,1.968936170212766,training
9065,spaq,09066.jpg,60.6,64.2,77.4,69.8,68.2,60.6,3.4936170212765956,training
6983,spaq,06984.jpg,12.8,54.0,38.27,49.64,23.5,10.6,1.4595744680851064,training
8571,spaq,08572.jpg,84.25,84.25,84.0,84.25,85.25,85.75,4.5,training
587,spaq,00588.jpg,68.42,66.22,71.16,68.2,72.37,64.84,3.8263829787234043,training
8066,spaq,08067.jpg,46.14,58.86,59.14,56.14,44.0,42.86,2.8782978723404256,training
7614,spaq,07615.jpg,77.29,78.57,76.71,75.29,75.86,77.43,4.203829787234043,training
4958,spaq,04959.jpg,67.0,64.86,68.71,71.43,62.29,62.14,3.7659574468085104,test
6879,spaq,06880.jpg,36.5,36.0,41.0,42.25,41.25,37.0,2.4680851063829787,training
1199,spaq,01200.jpg,42.29,59.43,58.71,63.71,36.0,48.43,2.714468085106383,training
423,spaq,00424.jpg,18.33,63.0,50.5,45.17,35.83,9.5,1.6948936170212765,test
10165,spaq,10166.jpg,15.17,19.33,37.0,21.0,31.43,6.71,1.5604255319148936,training
10955,spaq,10956.jpg,74.29,78.0,81.57,82.71,81.6,68.0,4.076170212765958,training
654,spaq,00655.jpg,73.71,66.57,68.29,69.71,70.5,70.86,4.051489361702127,training
3342,spaq,03343.jpg,68.33,73.67,70.89,72.67,69.22,71.67,3.8225531914893613,test
6476,spaq,06477.jpg,32.0,64.29,67.0,60.86,55.14,20.71,2.276595744680851,training
2858,spaq,02859.jpg,33.31,25.67,39.33,36.25,47.63,42.07,2.332340425531915,training
5676,spaq,05677.jpg,28.43,41.0,41.13,36.63,38.63,27.5,2.1246808510638298,test
10665,spaq,10666.jpg,32.29,50.57,47.86,52.43,42.86,16.83,2.2889361702127657,test
2351,spaq,02352.jpg,77.4,72.73,85.1,80.11,63.45,72.11,4.208510638297873,training
6920,spaq,06921.jpg,31.0,38.5,43.5,34.0,37.75,13.0,2.234042553191489,training
6922,spaq,06923.jpg,57.25,53.5,53.25,46.25,47.25,48.75,3.351063829787234,training
1849,spaq,01850.jpg,51.78,44.0,61.0,47.67,56.67,48.78,3.1182978723404253,test
1768,spaq,01769.jpg,74.23,72.64,77.25,76.23,72.85,73.31,4.073617021276596,training
573,spaq,00574.jpg,69.95,75.68,75.78,69.11,67.18,72.68,3.891489361702128,training
1685,spaq,01686.jpg,43.13,60.5,67.38,55.75,54.29,17.25,2.7502127659574467,training
6938,spaq,06939.jpg,13.7,31.0,43.0,26.82,18.5,11.0,1.4978723404255319,training
4059,spaq,04060.jpg,40.67,56.92,59.75,49.27,34.18,30.92,2.645531914893617,training
987,spaq,00988.jpg,18.22,33.22,43.63,38.44,24.78,12.89,1.6902127659574466,training
815,spaq,00816.jpg,42.67,45.83,51.5,38.5,39.0,38.83,2.7306382978723405,test
227,spaq,00228.jpg,73.83,72.67,75.85,72.69,68.38,73.0,4.056595744680851,training
7311,spaq,07312.jpg,26.0,19.0,39.67,43.67,15.33,41.0,2.021276595744681,training
5979,spaq,05980.jpg,71.0,68.0,72.67,62.0,59.67,69.33,3.9361702127659575,validation
5242,spaq,05243.jpg,57.2,65.6,72.8,74.8,61.4,52.2,3.348936170212766,training
6289,spaq,06290.jpg,20.67,13.67,30.0,14.67,26.33,13.67,1.794468085106383,training
1114,spaq,01115.jpg,33.92,50.73,51.92,48.17,39.08,24.67,2.3582978723404255,test
1043,spaq,01044.jpg,35.71,55.43,58.5,50.71,37.29,18.43,2.434468085106383,training
6357,spaq,06358.jpg,18.67,59.0,45.67,47.33,31.83,6.83,1.7093617021276595,training
6900,spaq,06901.jpg,73.75,84.0,74.75,74.25,70.5,62.5,4.053191489361702,training
7028,spaq,07029.jpg,53.88,51.88,65.5,67.17,57.25,51.5,3.207659574468085,test
3764,spaq,03765.jpg,63.33,58.67,67.25,61.45,71.36,71.33,3.6097872340425528,validation
1846,spaq,01847.jpg,71.22,61.11,67.89,69.89,72.89,81.25,3.9455319148936168,validation
5579,spaq,05580.jpg,62.5,55.17,62.33,64.17,71.17,70.17,3.574468085106383,test
6961,spaq,06962.jpg,50.7,59.0,56.36,60.0,63.7,51.1,3.0723404255319147,training
4353,spaq,04354.jpg,54.39,59.56,61.12,62.71,44.76,49.76,3.2293617021276595,training
4267,spaq,04268.jpg,78.91,72.91,78.75,75.64,72.42,77.92,4.272765957446809,training
7820,spaq,07821.jpg,68.0,68.0,72.13,70.88,70.13,62.75,3.808510638297872,test
4472,spaq,04473.jpg,54.11,51.22,48.33,61.0,55.56,56.5,3.2174468085106382,test
1357,spaq,01358.jpg,79.54,80.77,78.54,81.38,77.21,84.77,4.2995744680851065,training
1220,spaq,01221.jpg,69.43,74.29,75.0,79.0,76.0,72.0,3.8693617021276596,test
646,spaq,00647.jpg,70.88,65.25,64.13,67.88,69.14,69.25,3.9310638297872336,test
6884,spaq,06885.jpg,85.25,82.25,83.75,74.75,83.0,86.0,4.542553191489362,training
2704,spaq,02705.jpg,34.54,58.38,57.5,52.38,48.31,19.15,2.3846808510638295,test
9227,spaq,09228.jpg,85.1,83.3,79.7,82.2,79.5,83.0,4.536170212765957,training
7351,spaq,07352.jpg,14.8,26.2,34.6,32.4,23.0,10.8,1.5446808510638297,training
6982,spaq,06983.jpg,56.4,63.27,73.9,58.73,53.6,54.0,3.3148936170212764,validation
5593,spaq,05594.jpg,50.17,52.0,46.17,51.83,45.83,49.33,3.049787234042553,training
6285,spaq,06286.jpg,73.33,79.0,71.67,80.33,71.33,72.67,4.03531914893617,training
5628,spaq,05629.jpg,65.38,47.38,62.75,51.78,69.5,54.44,3.6970212765957444,training
5240,spaq,05241.jpg,65.4,55.6,65.4,69.4,69.4,69.8,3.697872340425532,training
4198,spaq,04199.jpg,62.14,76.14,74.57,70.86,70.57,66.71,3.5591489361702124,test
2739,spaq,02740.jpg,56.03,47.87,61.87,53.76,48.97,51.5,3.2991489361702127,training
2213,spaq,02214.jpg,56.5,53.5,59.33,60.0,73.33,67.17,3.3191489361702127,training
4274,spaq,04275.jpg,81.45,74.0,78.45,75.08,77.09,78.45,4.3808510638297875,training
5866,spaq,05867.jpg,68.8,70.0,70.6,69.6,67.6,72.8,3.8425531914893614,training
1867,spaq,01868.jpg,52.67,55.55,68.18,55.18,48.91,40.0,3.156170212765957,test
2216,spaq,02217.jpg,79.0,69.43,72.57,74.86,69.86,79.33,4.276595744680851,training
1581,spaq,01582.jpg,15.0,52.0,38.94,40.0,27.4,12.87,1.5531914893617023,training
9747,spaq,09748.jpg,41.2,51.6,57.55,52.45,50.27,36.55,2.668085106382979,training
7333,spaq,07334.jpg,75.67,79.67,74.33,85.33,69.0,61.0,4.134893617021277,training
10937,spaq,10938.jpg,82.71,72.57,83.43,86.14,82.17,87.0,4.434468085106383,training
2881,spaq,02882.jpg,71.83,72.78,74.5,68.17,63.16,69.41,3.9714893617021274,test
6017,spaq,06018.jpg,77.5,78.25,73.5,80.5,74.0,82.25,4.212765957446808,training
4314,spaq,04315.jpg,68.25,62.85,67.33,58.92,68.75,68.17,3.8191489361702127,training
5169,spaq,05170.jpg,81.73,79.5,84.36,80.91,83.1,83.18,4.392765957446809,training
10590,spaq,10591.jpg,16.67,36.0,33.29,35.14,25.43,10.17,1.6242553191489362,training
6041,spaq,06042.jpg,23.44,48.1,45.0,50.2,40.9,23.0,1.912340425531915,training
3752,spaq,03753.jpg,70.33,66.42,64.25,67.91,65.91,68.08,3.907659574468085,test
10225,spaq,10226.jpg,74.14,66.33,70.5,70.86,77.71,78.43,4.069787234042553,training
3346,spaq,03347.jpg,48.57,58.14,56.14,56.43,37.29,43.43,2.9817021276595743,training
5371,spaq,05372.jpg,75.22,75.75,76.78,72.44,65.44,81.88,4.115744680851064,training
2416,spaq,02417.jpg,75.88,75.0,76.29,71.38,64.0,73.13,4.143829787234043,training
3751,spaq,03752.jpg,72.17,69.83,73.17,71.0,77.09,78.73,3.9859574468085106,training
7905,spaq,07906.jpg,64.8,44.4,64.0,62.4,72.6,73.6,3.6723404255319148,training
10605,spaq,10606.jpg,64.43,67.43,72.29,70.29,71.29,68.17,3.656595744680851,training
8326,spaq,08327.jpg,47.91,66.92,65.0,70.91,51.5,38.17,2.9536170212765955,test
2120,spaq,02121.jpg,53.53,51.83,53.24,58.17,48.39,52.41,3.1927659574468086,test
3825,spaq,03826.jpg,67.0,58.67,63.67,66.83,58.67,63.0,3.7659574468085104,validation
585,spaq,00586.jpg,71.94,65.28,70.53,72.94,67.88,66.72,3.976170212765957,validation
4753,spaq,04754.jpg,34.14,43.57,40.43,38.57,35.29,18.57,2.3676595744680853,test
10216,spaq,10217.jpg,63.86,60.83,70.17,68.43,60.14,66.29,3.6323404255319147,training
81,spaq,00082.jpg,73.38,61.5,76.29,79.86,68.5,77.71,4.037446808510638,training
3456,spaq,03457.jpg,18.0,54.5,64.0,53.73,24.82,8.18,1.6808510638297873,training
9038,spaq,09039.jpg,41.6,56.8,62.0,52.4,55.6,35.2,2.6851063829787236,test
10050,spaq,10051.jpg,76.77,69.15,78.42,76.92,83.25,84.36,4.181702127659574,training
9600,spaq,09601.jpg,82.17,76.0,78.33,77.17,71.67,76.0,4.411489361702127,training
3014,spaq,03015.jpg,74.83,71.0,80.33,72.33,65.17,72.17,4.099148936170213,training
6945,spaq,06946.jpg,21.9,53.55,57.45,44.82,29.11,10.9,1.8468085106382977,training
3622,spaq,03623.jpg,16.08,47.67,45.58,38.0,35.5,11.73,1.5991489361702127,validation
6162,spaq,06163.jpg,68.0,60.14,65.86,65.57,66.14,74.71,3.808510638297872,training
5682,spaq,05683.jpg,79.71,79.29,83.0,76.71,77.86,82.86,4.306808510638298,training
4021,spaq,04022.jpg,78.93,76.0,84.0,75.64,81.15,79.14,4.273617021276596,training
5034,spaq,05035.jpg,28.88,33.5,28.13,31.63,27.75,25.25,2.1438297872340426,training
9238,spaq,09239.jpg,31.78,33.33,35.11,31.11,21.63,27.22,2.2672340425531914,training
8091,spaq,08092.jpg,46.7,58.67,62.3,58.6,36.5,43.9,2.902127659574468,test
4165,spaq,04166.jpg,77.86,79.0,82.43,80.86,78.43,80.17,4.228085106382979,training
849,spaq,00850.jpg,63.6,71.67,70.93,67.53,60.2,62.67,3.6212765957446806,training
10830,spaq,10831.jpg,76.43,75.0,76.14,73.43,77.43,75.71,4.167234042553192,training
8356,spaq,08357.jpg,85.17,85.67,86.5,86.17,86.83,88.17,4.539148936170212,training
8185,spaq,08186.jpg,83.67,80.67,83.17,83.5,85.67,84.83,4.47531914893617,training
10040,spaq,10041.jpg,73.69,76.67,81.5,76.31,75.08,80.75,4.05063829787234,training
3394,spaq,03395.jpg,31.11,53.3,56.2,43.9,46.11,23.7,2.2387234042553192,training
3004,spaq,03005.jpg,69.67,58.8,73.33,70.22,67.0,68.44,3.879574468085106,training
